keyword,2000_2004,2005_2009,2010_2014,2015_2019,2020_2024,mean_rank_slope
amused,13,12,5,7,9,1.300000000000002
extortion,1354,1281,1576,1391,1293,1.2000000000001498
biographical,1530,929,1576,1391,1293,1.2000000000000823
villain,32,11,11,13,25,1.2000000000000042
survival,38,82,198,34,56,1.2000000000000033
liar,1163,1662,1576,1391,1293,1.100000000000176
sports car,1530,928,1576,1391,1293,1.1000000000001129
motorcycle,741,119,697,434,578,1.1000000000000383
gore,49,45,490,38,47,1.100000000000004
nevada,1162,1662,1576,1391,1293,0.9000000000000623
tragedy,103,254,382,153,149,0.9000000000000087
iraq,1530,925,346,1391,1293,0.8000000000001147
menstruation,1161,1662,1576,1391,1293,0.700000000000032
intense,17,4,3,4,14,0.6000000000000018
friendship,10,15,2,15,7,0.6000000000000016
unresolved issues,1530,922,1576,1391,1293,0.5000000000001502
repressed memory,1160,1662,1210,1391,1293,0.5000000000000203
premonition,1331,1319,1576,1391,1293,0.4000000000001485
family reunion,1000,1662,1576,1072,1293,0.40000000000008673
ancient greece,1157,1662,1258,1391,1291,0.3000000000001643
challenge,1530,920,1576,1391,1293,0.3000000000000554
based on true story,12,20,12,5,18,0.3000000000000027
harvard university,1530,919,1576,1391,1293,0.20000000000010312
australian outback,1288,1402,1576,1391,1293,0.10000000000017678
exile,1158,1662,1576,1391,1293,0.10000000000000663
based on novel or book,1,1,1,1,2,-0.19999999999999987
totalitarian,1530,914,1576,1391,1293,-0.29999999999996596
new york city,5,7,16,12,4,-0.2999999999999995
falsely accused,903,1662,1576,887,1293,-0.4999999999998529
literature professor,1530,912,1576,1391,1293,-0.49999999999987044
unlikely romance,1530,911,1576,1391,1293,-0.5999999999999301
biography,112,44,68,14,130,-0.5999999999999898
christmas,56,86,79,88,58,-0.599999999999997
space mission,1530,909,1576,1391,1293,-0.799999999999876
police corruption,843,419,1141,571,771,-0.7999999999999289
murder,2,3,9,3,6,-0.7999999999999998
bakery,1530,908,1576,1391,1293,-0.8999999999998455
child as an adult,1153,1662,1576,1391,1293,-0.8999999999998476
impersonation,1152,1662,1576,1391,1293,-1.0999999999997536
gambling debt,1530,905,1576,1391,1293,-1.1999999999998683
aircraft carrier,1151,1662,1576,1391,1293,-1.2999999999998668
political thriller,1530,903,410,1391,1293,-1.399999999999787
bold,48,29,136,69,35,-1.3999999999999968
oppression,1149,1662,1576,1391,1293,-1.699999999999779
admiring,19,54,21,87,11,-1.6999999999999968
paparazzi,1148,1662,1576,1391,1293,-1.899999999999809
marital separation,1530,898,874,1391,1293,-1.8999999999998889
angst,1530,897,1576,1391,1293,-1.9999999999998184
death game,378,1342,1429,1126,496,-1.9999999999999583
desire,634,1662,1576,1391,780,-2.099999999999957
ax,1530,896,1576,1391,1293,-2.0999999999999783
american civil war,1530,750,1382,1391,1221,-2.299999999999914
archaeology,1146,1662,1576,1391,1293,-2.2999999999999705
unhappy marriage,1530,892,699,1391,1293,-2.500000000000008
u.s. marine,1530,891,386,1391,1293,-2.599999999999809
adventure,459,381,929,566,380,-2.699999999999934
teleportation,1530,657,1576,1159,1293,-2.799999999999897
rome,641,1270,1525,1134,723,-2.799999999999905
stuntman,1530,562,1576,1391,1130,-2.8999999999998614
baffled,93,240,366,281,87,-2.8999999999999955
anthology,1530,887,653,1391,1293,-2.9999999999998286
alcohol abuse,1142,1662,1576,1391,1293,-3.0999999999999432
bureaucracy,1530,885,1353,1391,1293,-3.199999999999827
boxing trainer,1068,1662,1576,1245,1293,-3.299999999999777
goat,1530,884,1576,1391,1293,-3.2999999999999448
spy,111,196,158,127,162,-3.299999999999991
hallucination,319,1021,295,819,437,-3.3999999999999764
zoo,1492,936,399,1391,1282,-3.4999999999999214
based on memoir or autobiography,922,1040,943,334,1293,-3.5999999999998678
housekeeper,1139,1662,1576,1391,1293,-3.6999999999999265
revenge,3,5,6,6,22,-3.9
psychoanalysis,1530,876,1576,1391,1293,-4.099999999999895
government,1530,125,1576,642,1293,-4.299999999999858
difficult childhood,822,1662,1576,1391,979,-4.2999999999998995
sadistic,1530,874,866,1391,1293,-4.299999999999919
anger,321,1345,1576,437,797,-4.399999999999978
desk,1530,872,1576,1391,1293,-4.499999999999913
extraterrestrial technology,956,1582,1576,1231,1155,-4.699999999999808
dream girl,1530,870,1576,1391,1293,-4.699999999999817
psychotic,1134,1662,433,1391,1293,-4.699999999999917
lover,1133,1662,1576,1391,1293,-4.899999999999919
pretend relationship,1530,868,1576,1391,1293,-4.899999999999928
veterinarian,1132,1662,1576,1391,1293,-5.1000000000000085
gunslinger,1131,1662,1003,1391,1293,-5.299999999999974
survival horror,236,468,628,494,250,-5.400000000000022
double cross,1530,862,724,1391,1293,-5.499999999999851
secret,1530,130,1576,1391,927,-5.49999999999986
seduction,730,1662,1515,591,1293,-5.4999999999999
pseudo-documentary,1530,860,1558,1389,1293,-5.499999999999949
flashback,15,184,152,102,84,-5.599999999999997
betrayal by friend,603,1662,1576,1391,768,-5.899999999999904
alternative reality,1016,524,555,1391,612,-5.89999999999992
agent,860,1662,1171,856,1293,-5.9999999999998685
haunted by the past,1530,857,1576,1391,1293,-6.000000000000026
gojira,1127,1662,1576,1391,1293,-6.099999999999929
black cinema,1530,854,1219,1391,1293,-6.2999999999998515
governor,1126,1662,1576,1391,1293,-6.2999999999998515
shame,1530,851,1576,1391,1293,-6.599999999999864
medieval,1230,1000,1415,941,1293,-6.699999999999846
heir to the throne,1530,849,1576,1391,1293,-6.79999999999991
ufo,1530,848,1576,1391,1293,-6.899999999999887
drunkenness,1122,1662,543,1391,1293,-7.09999999999976
angel,1530,846,1113,1391,1293,-7.099999999999863
cryonics,1530,845,1576,1391,1293,-7.19999999999981
remake,40,8,117,10,75,-7.1999999999999975
suitcase,1530,844,1576,1391,1293,-7.299999999999862
candy,1530,843,1576,1391,1293,-7.39999999999998
angry,166,36,144,130,156,-7.399999999999985
fascism,1530,842,1576,1391,1293,-7.499999999999874
mystery,939,704,882,1338,660,-7.5999999999998975
philosophical,126,222,83,214,168,-7.5999999999999766
violinist,1119,1662,1576,1391,1293,-7.699999999999807
transport of prisoners,1530,840,1576,1391,1293,-7.699999999999862
anxious,66,34,129,167,38,-7.699999999999997
new neighbor,1530,839,1576,1391,1293,-7.799999999999955
stone age,1120,1657,1576,1391,1293,-7.999999999999895
teachers and students,1530,836,1576,1391,1293,-8.09999999999983
tribe,1530,835,1576,1391,1293,-8.19999999999993
introspective,120,166,384,182,153,-8.199999999999985
bludgeoning,1116,1662,1576,1391,1293,-8.299999999999832
bridesmaid,1530,834,1576,1391,1293,-8.29999999999984
whimsical,74,151,8,75,154,-8.399999999999995
love,16,21,23,51,43,-8.4
nypd,1530,832,1576,1391,1293,-8.499999999999853
cannabis,1378,1136,1576,1391,1293,-8.499999999999858
strangeness,1115,1662,1576,1391,1293,-8.499999999999863
clone,1114,1662,779,1391,1293,-8.699999999999829
pacific war,1233,1424,1576,1391,1293,-8.69999999999983
bus,1530,830,1576,1391,1293,-8.69999999999984
death,36,114,70,60,107,-8.799999999999994
religious cult,1530,826,1576,1391,1293,-9.099999999999792
cheating husband,1530,825,1576,1391,1293,-9.199999999999868
earth,1530,824,1576,1391,1293,-9.299999999999846
mayor,1530,823,524,1391,1293,-9.399999999999842
prison guard,1530,822,1576,1391,1293,-9.499999999999849
drink,1110,1662,1576,1391,1293,-9.499999999999908
child abuse,232,319,261,362,258,-9.499999999999956
car bomb,1530,819,1576,1391,1293,-9.799999999999898
world war ii,122,123,251,120,173,-9.899999999999986
