keyword,2000_2004,2005_2009,2010_2014,2015_2019,2020_2024,mean_rank_slope
apartment,1530,1662,1576,1391,588,215.50000000000009
internet,1530,1662,658,589,995,214.30000000000015
teenage protagonist,1530,1662,779,1169,706,214.1000000000002
police procedural,1530,1662,1576,1391,596,213.90000000000018
televangelist,1530,1662,1576,1391,597,213.70000000000016
domestic abuse,1530,803,1576,1391,168,213.6
nostalgia,963,1662,1576,1086,184,213.40000000000012
samurai sword,1530,1662,810,1391,599,213.30000000000013
hokkaido,1530,1662,1576,1391,601,212.90000000000026
quest for knowledge,1530,1662,1576,1391,603,212.50000000000017
child murder,1530,1012,443,493,727,212.5000000000001
death of family,1530,1662,1576,869,865,212.30000000000013
riot,1194,1662,1576,1033,447,212.30000000000007
library,1530,1662,1576,899,853,211.70000000000005
smile,1530,1662,1576,1391,609,211.30000000000007
anti hero,579,1321,487,243,67,210.20000000000002
mind control,1458,1662,985,657,910,210.1000000000003
audio cassette,1530,1662,1576,1391,615,210.10000000000014
beauty of life,1530,1662,1576,1391,615,210.10000000000014
mystical quest,1530,1662,1576,1391,615,210.10000000000014
solitude,1530,1662,1576,1391,615,210.10000000000014
routine,1530,1662,1576,1391,615,210.10000000000014
uncle niece relationship,1530,1662,1576,1391,615,210.10000000000014
human nature,1530,1662,1576,1391,615,210.10000000000014
giant monster,1006,809,824,230,247,209.70000000000005
shapeshifting,1530,1662,1576,1121,761,207.90000000000006
dark,1530,1662,1576,962,841,207.80000000000015
meteorite,1530,1662,1576,1391,628,207.5000000000001
korean,1530,1662,1576,1391,631,206.90000000000012
existentialism,1530,1662,534,1391,633,206.50000000000017
peer pressure,1530,1662,1576,1391,635,206.10000000000002
jewish american,1530,1662,1576,1391,637,205.70000000000024
morocco,1530,1662,1576,86,1293,205.0000000000004
rape and revenge,1530,1188,220,207,998,204.50000000000009
1950s,830,902,261,90,214,204.40000000000012
female empowerment,1530,1662,1576,733,973,204.3000000000003
forceful,1530,1662,1126,1391,644,204.30000000000007
female fighter,1530,1662,1576,1391,646,203.9000000000002
family dynamics,1530,1662,1576,1391,647,203.7000000000002
grandmother grandson relationship,1530,1662,1576,1391,652,202.7000000000002
female warrior,1530,1662,1576,1391,653,202.4999999999999
wealth differences,1310,1662,1576,1391,434,202.30000000000032
climate change,1530,1662,1576,656,1024,201.8000000000001
family abandonment,1530,1662,1576,1391,657,201.70000000000016
origin of hero,1530,1662,1576,1391,660,201.10000000000005
buddy comedy,1530,1662,307,618,1047,201.00000000000023
gi joe,1530,1662,1576,1391,661,200.90000000000015
distant future,1530,966,1576,1391,314,200.70000000000013
hometown,1530,1662,1576,1391,664,200.30000000000015
creature,954,420,367,24,153,199.80000000000015
late coming of age,1530,1662,1576,1391,667,199.70000000000016
nude swimming,1530,1662,1481,1391,670,199.1000000000001
based on anime,1530,1662,701,145,1293,199.1000000000001
animal shelter,1530,1662,1576,1391,670,199.10000000000005
graduation party,1530,1662,1576,1391,670,199.10000000000005
craigslist,1530,1662,1576,1391,670,199.10000000000005
older woman seduces younger guy,1530,1662,1576,1391,670,199.10000000000005
helicopter parenting,1530,1662,1576,1391,670,199.10000000000005
socially awkward,1530,1662,1576,1391,670,199.10000000000005
