title,vote_average,vote_count,revenue,keywords
All She Wishes,6.9,12,0,"small town, waitress, magic, photographer, diner, eccentric, teenage girl, single father, high school student, midwest, grandmother, woman director, vintage car, father daughter relationship, actor, grandmother granddaughter relationship, car trunk, birthday wish"
All of My Heart,6.957,92,0,"roommates, romcom, inheritance, caterer, opposites attract, home renovation"
PERSONA3 THE MOVIE #3 Falling Down,7.205,39,0,"supernatural, sequel, super power, death, based on video game, anime, persona"
The Good Dinosaur,6.737,5848,332207671,"friendship, tyrannosaurus rex, cartoon, villain, friends, alternate history, dinosaur, fear, storm, nature, journey"
Jim Henson's Turkey Hollow,5.5,17,0,"whimsical, ridiculous"
All Eyes and Ears,6.0,2,0,"woman director, news"
A Man Amidst Bees,6.807,120,0,"blindness and impaired vision, failing marriage"
The Man Who Saw Too Much,6.955,11,0,"mexico, mexico city, mexico, photographer, photography, woman director, accident"
Bob's Broken Sleigh,4.8,14,0,"elves, santa claus, christmas"
Little Witch Academia: The Enchanted Parade,7.215,114,0,"witch, magic, sequel, school, anime, magic school"
The Brand New Testament,6.639,1721,15709652,"surreal, god"
The Gospel of Luke,8.3,3,0,"bible, gospel, biblical"
Kareem: Minority of One,7.2,25,0,"sports, biography, basketball, basketball player, professional athlete, ucla, islamism, los angeles lakers, milwaukee bucks"
As I Open My Eyes,6.549,51,0,"parent child relationship, rebellious youth, rebellious daughter, teenage rebellion, woman director, arab spring"
Jupiter Ascending,5.459,6948,184000000,"jupiter, space, space opera, woman director, interspecies romance"
Chronicles of the Ghostly Tribe,6.066,206,106380000,based on novel or book
The Heyday of the Insensitive Bastards,4.818,44,0,"based on novel or book, anthology"
Dans la peau de Kim Jong-Un,0.0,0,0,"politics, dictator, dictatorship, north korea, kim"
Bāhubali: The Beginning,7.528,885,90747520,"kingdom, medieval india, ancient india, bilingual"
The Exorcism of Molly Hartley,5.049,225,0,"exorcism, sequel"
The Mind's Eye,4.926,94,0,psychokinesis
The Great Gilly Hopkins,6.576,242,97798,"based on novel or book, foster family, foster child, foster home"
The Lobster,7.034,6645,15700000,"hotel, suicide attempt, boat, dystopia, woods, romance, punishment, revenge, swimming, macabre, grave digging, dead rabbit, blind woman, manhunt, shooting an animal, irreverent, absurd, witty, farcical, sardonic, scathing"
The Making of the Wiz Live!,0.0,0,0,musical
How Sarah Got Her Wings,5.9,93,0,christmas
De Club van Sinterklaas & De Verdwenen Schoentjes,4.0,2,0,"holiday, sinterklaas"
The Third Way of Love,6.6,22,0,"depression, suicide, forbidden love, business, star crossed lovers, rich man poor woman, melodrama, delusional disorder"
I Spit on Your Grave III: Vengeance Is Mine,5.8,1021,144420,"rape, police, detective, group therapy, investigation, sequel, revenge, murder, torture, attempted rape, rape and revenge, exuberant"
Engel der Gerechtigkeit: Geld oder Leben,0.0,0,0,woman lawyer
The Bride,6.652,105,0,"love triangle, based on play or musical, love affair, family feud, woman director"
"Buy Now, Die Later",5.0,1,0,philippines
In the Heart of the Sea,6.756,4256,93900000,"sea, suicide, ship, ocean, whale, shipwreck, hunger, based on true story, survival, stranded, cannibal, whaling, death, new england, lost at sea, whaling ship, starvation, 19th century, whale oil, nantucket"
Cowboys vs. Dinosaurs,4.1,54,0,"small town, montana, tyrannosaurus rex, animal attack, nuclear radiation, mining, dinosaur, explosion, cowboy, wild west, propane, hunt, mining company, raptors, caves, bikini babes, iridium"
Animal Kingdom: Let's Go Ape,5.2,360,16294916,"animal species, evolution, humanity"
Secret in Their Eyes,6.355,1402,34854990,"fbi, missing child, mischievous, tense"
Tomorrowland,6.288,7209,209200000,"inventor, apocalypse, destiny, dreamer, futuristic car, futuristic city, uplifting, disneyana, superversive"
Tudo Por Amor ao Cinema,0.0,0,0,"film preservation, homage, cinematheque"
The Price of Desire,2.3,3,0,woman director
"Signed, Sealed, Delivered: The Impossible Dream",6.8,24,0,sequel
"I Do, I Do, I Do",6.185,81,0,"time loop, wedding"
Poltergeist,5.2,2351,95682614,"poltergeist, haunted house, remake, duringcreditsstinger"
Santa's Little Helper,5.4,64,0,christmas
Love Finds You in Charm,6.196,56,0,amish
The Human Centipede 3 (Final Sequence),3.754,820,16184,"exploitation, gore, sequel, b movie, torture, cynical, torture porn, ifc midnight, egotistical, bold, vibrant"
The von Trapp Family: A Life of Music,5.9,18,99967,family
Hot Girls Wanted,6.077,689,0,"porn star, softcore, craigslist, woman director, adult filmmaking, sex trade"
Dealing with Dana,0.0,0,0,"money, los angeles, california"
Erwin und die Füxe,0.0,0,0,featurette
The Nutcracker Sweet,4.6,9,0,cascanueces
μ's 5th Go→Go! LoveLive! 2015 ~Dream Sensation!~ Day2,9.0,1,0,"μ's, μ's 5th, lovelive, lovelive 5th"
Vacanze ai Caraibi - Il film di Natale,4.629,303,0,cinepanettone
How Most Things Work,5.6,13,0,poverty
Half-Shell Heroes: Blast to the Past,7.056,9,0,"time travel, jurassic"
Mickey Mouse Clubhouse: Mickey's Monster Musical,7.571,7,0,"halloween, tv special"
Goosebumps,6.312,3908,158261424,"based on novel or book, magic, yeti, werewolf, family, new home, recluse, autumn, horror for children, book comes to life, ventriloquist's dummy, praying mantis, new school, girl next door"
Mary Loss of Soul,3.6,8,0,"supernatural, woman director"
Don Quixote: The Ingenious Gentleman of La Mancha,5.529,17,0,16th century
Ricky Rapper and the Miser from Seville,5.0,4,0,based on children's book
Gnome Alone,3.147,18,0,gnome
If There Be Thorns,5.8,116,0,"based on novel or book, incest, woman director"
Big Gold Dream: Scottish Post-Punk and Infiltrating the Mainstream,6.0,3,0,"scotland, edinburgh, scotland, record label, post-punk"
Wild Card,5.691,1875,6738764,"gambling, bodyguard, remake, las vegas"
Hooligans at War: North vs South,4.8,6,0,"fight, hooligan, gang, criminal, hooliganism, gun fight"
3-Headed Shark Attack,4.5,201,0,"monster, mutation, shark attack, machete, shark, mutant animal, three headed creature, booze cruise"
Famous Five 4,5.7,45,0,"pickpocket, kidnapping, mummy, secret society, false accusations"
An American Girl: Grace Stirs Up Success,7.5,22,0,"paris, france"
Open Season: Scared Silly,5.9,372,0,"deer, bear, werewolf"
The Marine 4: Moving Target,6.351,252,0,"fighter, marine, military"
Maggie,5.403,1646,187112,"dystopia, post-apocalyptic future, zombie"
Mac Dre: Legend of the Bay,8.0,2,0,"rap music, hip-hop, biography, oakland, california, death, bay area"
Dora or The Sexual Neuroses of Our Parents,5.12,25,0,"handicap sex, woman director"
The Ugly Face of Disability Hate Crime,0.0,0,0,"bullying, prejudice, sociology, social injustice, disfigured face, disabled, hate crime, disability, disfigurement, visually impaired person, empathy, discrimination, physical disability, taking a stand, awareness, societal ignorance, social awareness, social change, rare disease, differently-abled, disabled person, sociopolitical, social prejudice, social experiment, social problems, lack of awareness, hate speech, awareness campaign, ableism, law"
Sunny in the Dark,4.5,2,0,woman director
Winning: The Racing Life of Paul Newman,7.5,24,0,"car race, sports, daytona, le mans, racing, indycar"
Where to Invade Next,7.225,506,3820195,"france, politics, germany, italy, africa, portugal, revolution, iceland, europe, norway, working class, inequality, finland, political satire, welfare, tunisia, slovenia, infotainment, welfare states, economic inequality"
Requiem for the American Dream,7.7,195,44695,"upper class, middle class, wealth, social commentary, working class, economics, biting, democracy, blunt, poor, wealth differences, celebrity interview, anxious, social study, wealth distribution, factual, social inequality, wealth inequality, matter of fact"
An Inspector Calls,7.4,246,0,"suicide, england, inspector, based on play or musical, family dinner, woman director, 1910s, suicide investigation"
Ghost Town to Havana,0.0,0,0,"sports, cuba, san francisco, california, baseball, urban life, oakland, california, urban, poverty, cuban, caribbean sea, baseball field, havana, cuba, bay area"
Babysitter's Black Book,5.494,78,0,"high school, prostitute, babysitter, escort service, based on true story, woman director"
Promises,0.0,0,0,"post-traumatic stress disorder (ptsd), parent child relationship, sadness, promise, millionaire, rich, missing child, homeless, poor, riches to rags"
Top Gear: Australian Road Trip,10.0,1,2,"philosophical, hilarious"
We Will Never Be Royals,4.333,6,0,foster child
La Scala Theatre: the Temple of Wonders,7.0,1,0,"opera, opera house, milan, italy"
