title,vote_average,vote_count,revenue,keywords
Monster High: New Ghoul at School,6.8,50,0,"high school, cheerleading, based on toy, new girl at school, frankenstein"
Capturing Avatar,7.0,96,0,"technology, behind the scenes, nature, filmmaking, making of, film production"
Eat Pray Love,6.246,2560,204594016,"based on novel or book, change, italy, indonesia, love, travel, female protagonist, india, divorce, consciousness, around the world, balance, bali, self consciousness, thoughtful, philosophical, resilience, introspective, serene, italian cuisine, wistful, soul searching, simple life, sentimental, romantic, compassionate, empathetic, hopeful"
Mondomanila: Kung paano ko inayos ang buhok ko matapos ang mahaba-haba ring paglalakbay,5.35,10,0,"pedophilia, rape, politics, musical, philippines"
Remember Me,7.1,3644,56000000,"new york city, parent child relationship, 9/11, grieving, young adult, college student"
The Place Between Us,1.0,2,0,"artist, house party, lgbt, gay theme, short film, video camera"
Jews and Baseball: An American Love Story,6.0,2,0,"sports, baseball, judaism, jewish american, american experience"
The Tempest,5.328,128,346594,"island, sword, sorcery, banishment, spirit, storm, staff, woman director, sorceress, gender swap"
Machete,6.334,3446,45491656,"loss of loved one, illegal immigration, border patrol, immigration law, machete, politician, patrol, sniper rifle, hard to kill, brutal death"
The Switch,6.227,1979,49830607,"new york city, pregnancy, hypochondriac, little boy, single mother, based on short story, sperm donor, artificial insemination, precocious child, neurotic, wanting to have children, drunkenness, no memory, secret, best friends, moving back home"
Farmacia de guardia: la última guardia,3.7,9,0,sequel
Cancer: The Forbidden Cures,9.0,5,0,"medicine, cancer, alternative medicine, gerson therapy, terapia gerson"
Sunday Morning in Victoria Park,7.5,2,0,"family issues, social drama, female workforce, overseas labor, victoria park, toxic father, foreign exchange hero, aboard"
The Spy Next Door,5.872,1362,66166000,duringcreditsstinger
Superman/Batman: Apocalypse,7.16,739,0,"superhero, cartoon, superhuman, super power, woman director"
The Warrior's Way,6.6,644,11100000,"small town, assassin, forest, deception, revenge, super speed, 19th century"
C. H. Spurgeon: The People's Preacher,0.0,0,0,"christianity, preacher"
Alex and Leo,4.778,9,0,exploitation of friendship
Under the Boardwalk: The Monopoly Story,6.2,25,11536,"board game, monopoly the board game, world map, token, world wide, dice, go"
"Video Nasties: Moral Panic, Censorship & Videotape",6.8,29,0,"media, sexuality, paranoia, politician, interview, conservative, director, britain, censorship, video nasty"
A Fork in the Road,5.75,30,0,"escape, kidnapping, murder, convict"
Happy People: A Year in the Taiga,7.265,134,338987,"remoteness, wilderness, snow, dog sled, siberia"
The Man Who Saw Frankenstein Cry,6.0,9,0,"biography, werewolf"
13 Assassins,7.33,1215,17555141,"suicide, mission, japan, assassin, samurai, immortality, swordsman, massacre, battle, samurai sword, seppuku, code of honor, ronin, kimono, jidaigeki, edo period, warrior, 19th century, harakiri, bakumatsu"
With Love... from the Age of Reason,5.483,118,0,"france, clarinet, letter, romance, flashback, poverty, businesswoman, imagination, reconsidering of life"
You Should Meet My Son!,6.233,43,0,"conservative, male stripper, search for husband, gay theme"
The First Beautiful Thing,7.3,512,0,"mother, parent child relationship"
I Spit on Your Grave,6.5,2459,572809,"rape, fondling, remake, revenge, writer, garden shears, rape and revenge, emasculation"
Elias and the Treasure of the Sea,4.7,8,0,"winter, boat, fishing"
A Horrible Way to Die,5.086,87,0,"revenge, serial killer, mind game"
The Kennedy Detail,6.0,2,0,"assassination, john f. kennedy, secret service"
Godkiller: Walk Among Us,5.4,27,0,"sibling relationship, heart, post-apocalyptic future, based on comic, alien, wasteland, adult animation"
Droga do raju,0.0,0,0,paradise
